,year,quarter,sales
33,1968,2,68908
21,1965,2,67913
29,1967,2,65887
25,1966,2,62745
17,1964,2,61855
13,1963,2,58323
9,1962,2,54115
35,1968,4,53099
23,1965,4,51438
34,1968,3,49131
27,1966,4,48417
32,1968,1,47600
31,1967,4,47019
24,1966,1,45683
20,1965,1,45136
28,1967,1,44818
26,1966,3,43902
16,1964,1,43681
5,1961,2,43531
1,1960,2,42773
15,1963,4,42496
30,1967,3,41252
22,1965,3,40851
19,1964,4,40244
8,1962,1,36824
18,1964,3,36273
12,1963,1,36232
11,1962,4,34313
7,1961,4,31590
14,1963,3,28872
4,1961,1,28448
3,1960,4,27365
0,1960,1,27304
6,1961,3,26728
10,1962,3,26708
2,1960,3,24798
