Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
0.54,0.0,0.0,0.162,0.025,0.104,0.676,0.028,79.98611076
0.54,0.0,0.0,0.162,0.025,0.1055,0.676,0.028,61.887365759999994
0.3325,0.1425,0.0,0.228,0.0,0.0932,0.594,0.27,40.269535256000005
0.3325,0.1425,0.0,0.228,0.0,0.0932,0.594,0.365,41.052779992
0.1986,0.13240000000000002,0.0,0.192,0.0,0.09784,0.8255,0.36,44.296075096
0.266,0.114,0.0,0.228,0.0,0.0932,0.67,0.09,47.029847436000004
0.38,0.095,0.0,0.228,0.0,0.0932,0.594,0.365,43.698299404
0.38,0.095,0.0,0.228,0.0,0.0932,0.594,0.028,36.447769788
0.266,0.114,0.0,0.228,0.0,0.0932,0.67,0.028,45.854290856
0.475,0.0,0.0,0.228,0.0,0.0932,0.594,0.028,39.28978986
0.1986,0.13240000000000002,0.0,0.192,0.0,0.09784,0.8255,0.09,38.074243671999994
0.1986,0.13240000000000002,0.0,0.192,0.0,0.09784,0.8255,0.028,28.021683592
0.4275,0.0475,0.0,0.228,0.0,0.0932,0.594,0.27,43.01296026
0.19,0.19,0.0,0.228,0.0,0.0932,0.67,0.09,42.32693164
0.304,0.076,0.0,0.228,0.0,0.0932,0.67,0.028,47.813781648
0.38,0.0,0.0,0.228,0.0,0.0932,0.67,0.09,52.908319811999995
0.1396,0.2094,0.0,0.192,0.0,0.1047,0.8069,0.09,39.358047983999995
0.342,0.038,0.0,0.228,0.0,0.0932,0.67,0.365,56.141962252
0.38,0.095,0.0,0.228,0.0,0.0932,0.594,0.09,40.563252031999994
0.475,0.0,0.0,0.228,0.0,0.0932,0.594,0.18,42.620648416
0.4275,0.0475,0.0,0.228,0.0,0.0932,0.594,0.18,41.836714203999996
0.1396,0.2094,0.0,0.192,0.0,0.1047,0.8069,0.028,28.23748958
0.1396,0.2094,0.0,0.192,0.0,0.1047,0.8069,0.003,8.06342182
0.1396,0.2094,0.0,0.192,0.0,0.1047,0.8069,0.18,44.207822168
0.38,0.0,0.0,0.228,0.0,0.0932,0.67,0.365,52.516697443999995
0.38,0.0,0.0,0.228,0.0,0.0932,0.67,0.27,53.300631656
0.38,0.095,0.0,0.228,0.0,0.0932,0.594,0.27,41.15137506
0.342,0.038,0.0,0.228,0.0,0.0932,0.67,0.18,52.1243856
0.4275,0.0475,0.0,0.228,0.0,0.0932,0.594,0.028,37.427515183999994
0.475,0.0,0.0,0.228,0.0,0.0932,0.594,0.007,38.60376124
0.304,0.076,0.0,0.228,0.0,0.0932,0.67,0.365,55.260122448
0.266,0.114,0.0,0.228,0.0,0.0932,0.67,0.365,52.908319811999995
0.1986,0.13240000000000002,0.0,0.192,0.0,0.09784,0.8255,0.18,41.719503284
0.475,0.0,0.0,0.228,0.0,0.0932,0.594,0.27,42.131120456
0.19,0.19,0.0,0.228,0.0,0.0932,0.67,0.365,53.69225402399999
0.2375,0.2375,0.0,0.228,0.0,0.0932,0.594,0.27,38.407950056000004
0.2375,0.2375,0.0,0.228,0.0,0.0932,0.594,0.028,30.079769451999997
0.3325,0.1425,0.0,0.228,0.0,0.0932,0.594,0.09,37.721921436
0.475,0.0,0.0,0.228,0.0,0.0932,0.594,0.09,42.229026048
0.2375,0.2375,0.0,0.228,0.0,0.0932,0.594,0.18,36.251958603999995
0.342,0.038,0.0,0.228,0.0,0.0932,0.67,0.09,50.45930106
0.4275,0.0475,0.0,0.228,0.0,0.0932,0.594,0.365,43.698299404
0.2375,0.2375,0.0,0.228,0.0,0.0932,0.594,0.365,38.995383608
0.38,0.0,0.0,0.228,0.0,0.0932,0.67,0.18,53.104130996
0.4275,0.0475,0.0,0.228,0.0,0.0932,0.594,0.09,41.542997428
0.4275,0.0475,0.0,0.228,0.0,0.0932,0.594,0.007,35.076402024
0.349,0.0,0.0,0.192,0.0,0.1047,0.8069,0.003,15.049192651999999
0.38,0.095,0.0,0.228,0.0,0.0932,0.594,0.18,40.759063216
0.2375,0.2375,0.0,0.228,0.0,0.0932,0.594,0.007,26.258003984
0.38,0.095,0.0,0.228,0.0,0.0932,0.594,0.007,32.823194456
0.3325,0.1425,0.0,0.228,0.0,0.0932,0.594,0.18,39.779317819999996
0.19,0.19,0.0,0.228,0.0,0.0932,0.67,0.18,46.931941843999994
0.2375,0.2375,0.0,0.228,0.0,0.0932,0.594,0.09,33.116911232
0.304,0.076,0.0,0.228,0.0,0.0932,0.67,0.09,49.185149411999994
0.1396,0.2094,0.0,0.192,0.0,0.1047,0.8069,0.007,14.589312159999999
0.1986,0.13240000000000002,0.0,0.192,0.0,0.09784,0.8255,0.007,14.638264955999999
0.475,0.0,0.0,0.228,0.0,0.0932,0.594,0.365,41.934619796
0.1986,0.13240000000000002,0.0,0.192,0.0,0.09784,0.8255,0.003,9.131420144
0.304,0.076,0.0,0.228,0.0,0.0932,0.67,0.18,50.94882902
0.3325,0.1425,0.0,0.228,0.0,0.0932,0.594,0.028,33.019005639999996
0.304,0.076,0.0,0.228,0.0,0.0932,0.67,0.27,54.378282643999995
0.266,0.114,0.0,0.228,0.0,0.0932,0.67,0.27,51.732763231999996
0.31,0.0,0.0,0.192,0.0,0.0971,0.8506,0.003,9.86640156
0.19,0.19,0.0,0.228,0.0,0.0932,0.67,0.27,50.655112243999994
0.266,0.114,0.0,0.228,0.0,0.0932,0.67,0.18,48.695621452
0.342,0.038,0.0,0.228,0.0,0.0932,0.67,0.27,55.064311264
0.1396,0.2094,0.0,0.192,0.0,0.1047,0.8069,0.36,44.698039603999995
0.3325,0.1425,0.0,0.228,0.0,0.0932,0.594,0.007,30.275580636
0.19,0.19,0.0,0.228,0.0,0.0932,0.67,0.028,40.856968808
0.485,0.0,0.0,0.146,0.0,0.112,0.8,0.028,71.98818916
0.374,0.18919999999999998,0.0,0.1701,0.10099999999999999,0.09261,0.7567,0.003,34.39795764
0.3133,0.2622,0.0,0.1755,0.086,0.10469,0.6117999999999999,0.003,28.79941252
0.425,0.10629999999999999,0.0,0.1535,0.165,0.08521000000000001,0.8871,0.003,33.398217439999996
0.425,0.10629999999999999,0.0,0.1514,0.18600000000000003,0.0936,0.8037000000000001,0.003,36.3009114
