Name;URL;Author;Price;Number of Ratings;Average Rating
400 Days;https://www.amazon.in/400-Days-Chetan-Bhagat/dp/1542094089/ref=zg_bs_books_1/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Chetan Bhagat;₹199.00;not_available;not_available
The Psychology of Money;https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_2/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Morgan Housel;₹277.00;17,798;4.6 out of 5 stars
My First Library: Boxset of 10 Board Books for Kids;https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_3/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Wonder House Books;₹389.00;37,236;4.5 out of 5 stars
Educart TERM 1 MCQ Question Bank Class 10 Bundle 2022 - Maths, Science, English & SST Books (Based on New MCQs Type Introduced in 2nd Sep 2021 CBSE Sample Paper);https://www.amazon.in/Educart-TERM-Question-Class-Bundle/dp/B09C3F3XY5/ref=zg_bs_books_4/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Educart;₹499.00;373;4.1 out of 5 stars
Ikigai: The Japanese secret to a long and happy life;https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_5/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Héctor García;₹318.00;23,595;4.6 out of 5 stars
Atomic Habits: The life-changing million copy bestseller;https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_books_6/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;James Clear;₹452.00;25,742;4.6 out of 5 stars
Spoken English Course (Telugu);https://www.amazon.in/Spoken-English-Course-Telugu-Vashista/dp/B08W1SNNLP/ref=zg_bs_books_7/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;not_available;₹283.00;3,352;4.3 out of 5 stars
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!;https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194/ref=zg_bs_books_8/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Robert T. Kiyosaki;₹305.00;47,798;4.6 out of 5 stars
Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10 (Set of 3 Books) Mathematics (Standard), Science, Social Science (For 2021-22 Exam);https://www.amazon.in/Chapterwise-Mathematics-Standard-Science-2021-22/dp/9354239552/ref=zg_bs_books_9/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Oswaal Editorial Board;₹424.00;242;4.2 out of 5 stars
Word Power Made Easy;https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_books_10/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Norman Lewis;₹99.00;28,779;4.4 out of 5 stars
