Name;URL;Author;Price;Number of Ratings;Average Rating;Type
The Psychology of Money;https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_1/261-4869405-0058465?pd_rd_i=9390166268&psc=1;Morgan Housel;₹300.00;32,242;4.6 out of 5 stars;Paperback
My First Library: Boxset of 10 Board Books for Kids;https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_2/261-4869405-0058465?pd_rd_i=9387779262&psc=1;Wonder House Books;₹399.00;49,290;4.5 out of 5 stars;Board book
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!;https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194/ref=zg_bs_books_3/261-4869405-0058465?pd_rd_i=1612680194&psc=1;Robert T. Kiyosaki;₹299.00;57,959;4.6 out of 5 stars;Mass Market Paperback
The Power of Your Subconscious Mind;https://www.amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_books_4/261-4869405-0058465?pd_rd_i=8194790832&psc=1;Joseph Murphy;₹125.00;51,869;4.5 out of 5 stars;Paperback
Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty;https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_books_5/261-4869405-0058465?pd_rd_i=0143333623&psc=1;not_available;₹224.00;13,696;4.6 out of 5 stars;Paperback
Ikigai: The Japanese secret to a long and happy life;https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_6/261-4869405-0058465?pd_rd_i=178633089X&psc=1;Héctor García;₹440.00;31,593;4.6 out of 5 stars;Hardcover
Word Power Made Easy;https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_books_7/261-4869405-0058465?pd_rd_i=0143424688&psc=1;Norman Lewis;₹147.00;37,302;4.4 out of 5 stars;Paperback
27 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2021) 12th Edition;https://www.amazon.in/Years-Prelims-Topic-wise-Solved-Papers/dp/9355640005/ref=zg_bs_books_8/261-4869405-0058465?pd_rd_i=9355640005&psc=1;not_available;₹350.00;1,856;4.5 out of 5 stars;Paperback
My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids;https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_books_9/261-4869405-0058465?pd_rd_i=9390292964&psc=1;Maple Press;₹219.00;3,919;4.4 out of 5 stars;Paperback
DO EPIC SHIT;https://www.amazon.in/DO-EPIC-SHIT-Ankur-Warikoo/dp/9391165486/ref=zg_bs_books_10/261-4869405-0058465?pd_rd_i=9391165486&psc=1;Ankur Warikoo;₹296.00;3,918;4.5 out of 5 stars;Hardcover
Attitude Is Everything: Change Your Attitude ... Change Your Life!;https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=zg_bs_books_11/261-4869405-0058465?pd_rd_i=9351772071&psc=1;Jeff Keller;₹147.00;17,425;4.5 out of 5 stars;Paperback
The Alchemist;https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_books_12/261-4869405-0058465?pd_rd_i=8172234988&psc=1;Paulo Coelho;₹250.00;74,273;4.6 out of 5 stars;Paperback
Quantitative Aptitude for Competitive Examinations;https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026/ref=zg_bs_books_13/261-4869405-0058465?pd_rd_i=9352534026&psc=1;R S Aggarwal;₹464.00;24,888;4.4 out of 5 stars;Paperback
